,總樓層數,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝
115,5.0,4,3,4,2,2,1,1,1,1,108,530449.2307692308,461.3538461538461,711.0153846153846,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
116,14.0,4,11,1,1,1,1,1,1,1,108,544723.0769230769,29.81538461538461,250.2769230769231,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117,12.0,4,25,3,2,2,1,1,1,2,108,350221.53846153844,198.3384615384615,527.1384615384616,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
118,14.0,4,2,4,2,2,1,1,1,2,107,624560.0,106.12307692307692,927.0769230769232,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
119,14.0,4,2,1,1,1,1,1,1,1,108,583221.5384615385,47.04615384615384,424.52307692307687,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
120,8.0,4,27,1,1,1,1,1,1,1,108,360735.3846153846,32.30769230769231,222.0307692307692,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
121,5.0,4,40,2,1,2,0,1,1,0,108,339233.84615384607,60.30769230769231,182.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122,5.0,4,40,4,0,4,0,1,1,0,108,312646.1538461538,60.30769230769231,196.8307692307692,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123,11.0,4,7,3,2,2,1,3,1,1,108,366080.0,120.73846153846155,612.9230769230769,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
124,5.0,4,39,3,2,2,0,1,1,0,108,327864.6153846154,91.75384615384615,340.7384615384616,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
125,7.0,4,2,2,2,1,0,1,1,0,108,670538.4615384615,76.46153846153847,300.7384615384616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,11.0,4,11,3,2,2,1,3,1,1,108,345932.3076923077,103.81538461538462,506.3076923076923,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
127,4.0,4,35,1,1,1,0,1,1,0,108,543024.6153846154,52.184615384615384,149.93846153846152,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
128,14.0,4,11,3,2,2,1,1,1,1,108,351409.23076923075,109.56923076923077,554.4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
129,14.0,4,11,3,2,2,1,1,1,1,108,425760.0,109.2923076923077,552.8000000000002,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
130,14.0,4,11,3,2,2,1,1,1,1,108,411898.4615384615,110.15384615384615,557.1076923076923,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
